Date,Opening Price
2021-01-08, 41400.0
2021-01-07, 39407.0
2021-01-06, 36755.0
2021-01-05, 33996.0
2021-01-04, 32020.0
2021-01-03, 32971.0
2021-01-02, 32185.0
2021-01-01, 29346.0
2020-12-31, 28933.0
2020-12-30, 28880.0
2020-12-29, 27315.0
2020-12-28, 27058.0
2020-12-27, 26241.0
2020-12-26, 26412.0
2020-12-25, 24717.0
2020-12-24, 23735.0
2020-12-23, 23234.0
2020-12-22, 23805.0
2020-12-21, 22701.0
2020-12-20, 23427.0
2020-12-19, 23804.0
2020-12-18, 23127.0
2020-12-17, 22806.6
2020-12-16, 21322.0
2020-12-15, 19459.0
2020-12-14, 19281.0
2020-12-13, 19180.0
2020-12-12, 18810.6
2020-12-11, 18050.0
2020-12-10, 18260.0
